postal_code,data,Single parents,Single parents Points
M4X,2021A0011M4X - Total one-parent families - Counts - Total,1035,32
M4P,2021A0011M4P - Total one-parent families - Counts - Total,1030,31
M8Y,2021A0011M8Y - Total one-parent families - Counts - Total,1000,30
M5M,2021A0011M5M - Total one-parent families - Counts - Total,855,29
M8Z,2021A0011M8Z - Total one-parent families - Counts - Total,820,28
M5T,2021A0011M5T - Total one-parent families - Counts - Total,800,27
M4Y,2021A0011M4Y - Total one-parent families - Counts - Total,780,26
M9L,2021A0011M9L - Total one-parent families - Counts - Total,780,26
M4H,2021A0011M4H - Total one-parent families - Counts - Total,740,24
M5R,2021A0011M5R - Total one-parent families - Counts - Total,735,23
M4G,2021A0011M4G - Total one-parent families - Counts - Total,705,22
M5P,2021A0011M5P - Total one-parent families - Counts - Total,695,21
M6R,2021A0011M6R - Total one-parent families - Counts - Total,665,20
M1X,2021A0011M1X - Total one-parent families - Counts - Total,650,19
M4V,2021A0011M4V - Total one-parent families - Counts - Total,635,18
M2L,2021A0011M2L - Total one-parent families - Counts - Total,615,17
M5N,2021A0011M5N - Total one-parent families - Counts - Total,595,16
M3K,2021A0011M3K - Total one-parent families - Counts - Total,540,15
M5B,2021A0011M5B - Total one-parent families - Counts - Total,540,15
M3B,2021A0011M3B - Total one-parent families - Counts - Total,520,13
M4N,2021A0011M4N - Total one-parent families - Counts - Total,485,12
M4W,2021A0011M4W - Total one-parent families - Counts - Total,450,11
M5S,2021A0011M5S - Total one-parent families - Counts - Total,445,10
M4R,2021A0011M4R - Total one-parent families - Counts - Total,410,9
M5J,2021A0011M5J - Total one-parent families - Counts - Total,365,8
M8X,2021A0011M8X - Total one-parent families - Counts - Total,355,7
M2P,2021A0011M2P - Total one-parent families - Counts - Total,335,6
M5G,2021A0011M5G - Total one-parent families - Counts - Total,325,5
M4T,2021A0011M4T - Total one-parent families - Counts - Total,315,4
M5E,2021A0011M5E - Total one-parent families - Counts - Total,230,3
M5C,2021A0011M5C - Total one-parent families - Counts - Total,95,2
M5H,2021A0011M5H - Total one-parent families - Counts - Total,45,1
